Name,Version,Region,Country,City,Success,SystemVersion,SystemVersionNumber,SystemVersionOS
git-source-control,2.1.1,Virginia,US,Ashburn,1,IRIS for Windows (x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:00:26 EST,2022.1.2,Windows
git-source-control,2.1.1,Virginia,US,Ashburn,1,IRIS for Windows (x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:00:26 EST,2022.1.2,Windows
git-source-control,2.1.1,Virginia,US,Ashburn,1,IRIS for Windows (x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:00:26 EST,2022.1.2,Windows
git-source-control,2.1.1,Virginia,US,Ashburn,1,IRIS for Windows (x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:00:26 EST,2022.1.2,Windows
git-source-control,2.1.1,Virginia,US,Ashburn,1,IRIS for Windows (x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:00:26 EST,2022.1.2,Windows
git-source-control,2.1.1,Virginia,US,Tappahannock,1,IRIS for UNIX (Ubuntu Server 20.04 LTS for x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:03:40 EST,2022.1.2,UNIX
mdx2json,3.2.23,Bavaria,DE,Nuremberg,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2020.2 (Build 211U) Fri Jun 26 2020 13:36:43 EDT,2020.2,UNIX
dsw,3.1.87,Bavaria,DE,Nuremberg,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2020.2 (Build 211U) Fri Jun 26 2020 13:36:43 EDT,2020.2,UNIX
mdx2json,3.2.23,Bavaria,DE,Nuremberg,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2020.2 (Build 211U) Fri Jun 26 2020 13:36:43 EDT,2020.2,UNIX
dsw,3.1.87,Bavaria,DE,Nuremberg,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2020.2 (Build 211U) Fri Jun 26 2020 13:36:43 EDT,2020.2,UNIX
iris-cron-task,2.0.1,California,US,San Jose,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
webterminal,4.9.6,California,US,San Jose,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-rest,1.1.1,California,US,San Jose,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-ui-ngx,1.0.0,California,US,San Jose,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
iris-cron-task,2.0.1,Virginia,US,Boydton,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
webterminal,4.9.6,Virginia,US,Boydton,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-rest,1.1.1,Virginia,US,Boydton,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-ui-ngx,1.0.0,Virginia,US,Boydton,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
git-source-control,2.1.1,Virginia,US,Tappahannock,1,IRIS for UNIX (Ubuntu Server 20.04 LTS for x86-64) 2022.1.2 (Build 574U) Fri Jan 13 2023 15:03:40 EST,2022.1.2,UNIX
iris-cron-task,2.0.1,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
webterminal,4.9.6,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-rest,1.1.1,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-ui-ngx,1.0.0,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
iris-cron-task,2.0.1,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
webterminal,4.9.6,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-rest,1.1.1,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
workflow-ui-ngx,1.0.0,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
